City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Burns Lake,CA,2021-09-25 06:08:08,54.2331,-125.7533,45.46,80,100,3.4
69,Marrakesh,MA,2021-09-25 06:08:08,31.6315,-8.0083,60.87,77,0,4.61
70,Ribeira Grande,PT,2021-09-25 06:08:08,38.5167,-28.7,69.53,90,100,19.57
71,Victoria,HK,2021-09-25 06:07:57,22.2855,114.1577,96.22,76,29,3.0
72,Rio Gallegos,AR,2021-09-25 06:08:09,-51.6226,-69.2181,41.05,56,40,11.5
73,Kapit,MY,2021-09-25 06:08:09,2.0167,112.9333,94.06,46,30,2.64
74,Tasiilaq,GL,2021-09-25 06:08:10,65.6145,-37.6368,26.46,66,94,8.52
75,Cidreira,BR,2021-09-25 06:08:10,-30.1811,-50.2056,57.99,89,28,3.31
76,Celestun,MX,2021-09-25 06:08:11,20.8667,-90.4,78.3,84,54,7.16
77,Punta Arenas,CL,2021-09-25 06:08:11,-53.15,-70.9167,37.51,87,0,10.36
78,Jiuquan,CN,2021-09-25 06:08:12,39.7432,98.5174,65.3,31,10,6.51
79,Okhotsk,RU,2021-09-25 06:08:12,59.3833,143.3,57.49,52,40,5.1
80,New Norfolk,AU,2021-09-25 06:08:13,-42.7826,147.0587,50.72,58,77,3.0
81,Zhezkazgan,KZ,2021-09-25 06:08:13,47.8043,67.7144,60.98,27,29,16.93
82,Kaitangata,NZ,2021-09-25 06:08:13,-46.2817,169.8464,48.83,64,70,14.65
83,Barrow,US,2021-09-25 06:08:14,71.2906,-156.7887,26.62,93,90,5.75
84,Nome,US,2021-09-25 06:08:14,64.5011,-165.4064,42.87,82,90,14.97
85,Ugoofaaru,MV,2021-09-25 06:08:15,5.6667,73.0,82.4,74,97,18.77
86,Mangrol,IN,2021-09-25 06:08:15,21.1167,70.1167,83.21,75,89,11.25
87,Hobart,AU,2021-09-25 06:08:15,-42.8794,147.3294,51.06,62,40,3.0
88,Vallenar,CL,2021-09-25 06:08:16,-28.5708,-70.7581,56.21,71,0,0.87
89,Ilulissat,GL,2021-09-25 06:08:17,69.2167,-51.1,24.82,54,40,2.3
90,Hermanus,ZA,2021-09-25 06:08:17,-34.4187,19.2345,54.9,75,100,4.07
91,Kavieng,PG,2021-09-25 06:08:18,-2.5744,150.7967,83.37,74,44,10.78
92,Baykit,RU,2021-09-25 06:08:18,61.67,96.37,42.48,60,87,5.08
93,Cape Town,ZA,2021-09-25 06:07:07,-33.9258,18.4232,55.11,92,98,1.01
